id_viaje,id_socio,num_economico,distancia,tiempo,fecha
v-000084,s-0088,eco-0207,15.49,50,2021-05-06
v-000085,s-0168,eco-0083,1.81,8,2021-10-25
v-000086,s-0192,eco-0206,1.74,8,2021-10-22
v-000087,s-0034,eco-0233,14.65,41,2021-09-15
v-000088,s-0131,eco-0409,2.47,8,2021-05-15
v-000089,s-0052,eco-0129,3.68,9,2021-03-19
v-000090,s-0166,eco-0329,2.42,8,2021-07-09
v-000091,s-0052,eco-0390,13.62,46,2021-07-15
v-000092,s-0197,eco-0111,2.55,10,2021-06-25
v-000093,s-0149,eco-0041,1.21,7,2021-07-31
v-000094,s-0034,eco-0488,2.43,8,2021-09-11
v-000095,s-0040,eco-0384,3.24,7,2021-06-13
v-000096,s-0144,eco-0484,7.8,45,2021-06-09
v-000097,s-0180,eco-0108,4.46,11,2021-02-03
v-000098,s-0137,eco-0180,1.72,8,2021-02-08
v-000099,s-0040,eco-0096,1.63,8,2021-12-08
v-000100,s-0080,eco-0049,9.65,46,2021-03-26
v-000101,s-0194,eco-0317,6.28,45,2021-02-27
v-000102,s-0109,eco-0103,1.42,11,2021-12-17
v-000103,s-0027,eco-0229,8.48,47,2021-09-08
v-000104,s-0188,eco-0327,2.35,7,2021-12-11
v-000105,s-0102,eco-0211,14.93,42,2021-01-01
v-000106,s-0139,eco-0429,2.49,9,2021-09-19
v-000107,s-0123,eco-0026,2.78,12,2021-02-27
v-000108,s-0030,eco-0175,11.22,45,2021-12-28
v-000109,s-0013,eco-0432,1.39,6,2021-05-15
v-000110,s-0192,eco-0227,10.8,47,2021-11-27
v-000111,s-0052,eco-0406,2.49,8,2021-01-07
v-000112,s-0188,eco-0426,0.66,10,2021-04-09
v-000113,s-0185,eco-0448,1.27,5,2021-04-14
v-000114,s-0185,eco-0498,2.18,12,2021-07-21
v-000115,s-0036,eco-0113,0.85,9,2021-07-31
v-000116,s-0149,eco-0163,2.22,8,2021-07-26
v-000117,s-0021,eco-0467,15.11,43,2021-07-15
v-000118,s-0195,eco-0295,1.47,6,2021-03-30
v-000119,s-0103,eco-0283,3.2,9,2021-12-01
v-000120,s-0018,eco-0176,1.8,10,2021-02-22
v-000121,s-0163,eco-0353,17.26,43,2021-06-07
v-000122,s-0053,eco-0373,7.87,47,2021-02-05
v-000123,s-0191,eco-0357,6.8,44,2021-10-10
v-000124,s-0086,eco-0135,2.79,8,2021-06-02
v-000125,s-0166,eco-0030,6.31,44,2021-09-30
v-000126,s-0028,eco-0194,4.12,10,2021-08-06
v-000127,s-0106,eco-0406,1.04,8,2021-11-16
v-000128,s-0093,eco-0096,14.7,44,2021-03-23
v-000129,s-0011,eco-0367,3.29,11,2021-02-07
v-000130,s-0027,eco-0013,13.2,48,2021-11-02
v-000131,s-0144,eco-0388,2.38,8,2021-12-09
v-000132,s-0011,eco-0258,1.54,8,2021-09-11
v-000133,s-0078,eco-0419,2.89,9,2021-06-01
v-000134,s-0145,eco-0272,2.15,8,2021-10-05
v-000135,s-0029,eco-0332,4.58,10,2021-11-23
v-000136,s-0083,eco-0173,1.53,9,2021-09-22
v-000137,s-0085,eco-0268,3.12,8,2021-08-01
v-000138,s-0191,eco-0377,2.53,9,2021-01-14
v-000139,s-0029,eco-0330,2.85,11,2021-04-24
v-000140,s-0105,eco-0142,12.26,41,2021-05-12
v-000141,s-0166,eco-0123,8.67,52,2021-01-28
v-000142,s-0055,eco-0115,3.53,44,2021-09-24
v-000143,s-0195,eco-0487,2.17,10,2021-07-10
v-000144,s-0112,eco-0462,2.32,9,2021-11-10
v-000145,s-0192,eco-0335,1.61,9,2021-10-31
v-000146,s-0181,eco-0059,2.2,12,2021-08-07
v-000147,s-0019,eco-0246,1.53,39,2021-05-08
v-000148,s-0183,eco-0266,1.23,8,2021-06-10
v-000149,s-0157,eco-0132,1.16,7,2021-07-10
v-000150,s-0084,eco-0477,2.32,10,2021-09-20
v-000151,s-0054,eco-0160,0.89,11,2021-12-12
v-000152,s-0145,eco-0450,5.07,40,2021-04-02
v-000153,s-0005,eco-0223,2.32,8,2021-03-21
v-000154,s-0165,eco-0222,4.77,47,2021-11-30
v-000155,s-0008,eco-0488,1.21,11,2021-06-19
v-000156,s-0140,eco-0304,1.85,3,2021-01-08
v-000157,s-0186,eco-0338,1.78,10,2021-05-16
v-000158,s-0149,eco-0063,0.5,13,2021-05-25
v-000159,s-0197,eco-0134,2.19,8,2021-10-20
v-000160,s-0120,eco-0255,5.7,38,2021-03-02
v-000161,s-0059,eco-0111,1.21,9,2021-03-05
v-000162,s-0026,eco-0389,2.68,5,2021-02-16
v-000163,s-0082,eco-0037,9.0,34,2021-05-15
v-000164,s-0101,eco-0339,1.42,12,2021-09-15
v-000165,s-0157,eco-0483,1.83,6,2021-07-28
v-000166,s-0175,eco-0116,10.36,49,2021-02-28
v-000167,s-0181,eco-0425,2.12,6,2021-01-21
v-000168,s-0129,eco-0423,1.59,9,2021-12-07
v-000169,s-0110,eco-0073,0.9,8,2021-03-29
v-000170,s-0126,eco-0132,1.18,9,2021-03-07
v-000171,s-0086,eco-0048,0.37,14,2021-09-13
v-000172,s-0053,eco-0236,2.3,7,2021-07-13
v-000173,s-0147,eco-0278,0.11,10,2021-04-06
v-000174,s-0013,eco-0277,8.21,49,2021-01-12
v-000175,s-0120,eco-0300,13.52,48,2021-01-01
v-000176,s-0137,eco-0254,1.83,8,2021-10-12
v-000177,s-0054,eco-0069,0.56,12,2021-02-08
v-000178,s-0180,eco-0161,1.62,7,2021-05-02
v-000179,s-0185,eco-0200,12.09,46,2021-12-18
v-000180,s-0051,eco-0153,5.07,58,2021-05-07
v-000181,s-0002,eco-0077,0.16,9,2021-06-06
v-000182,s-0041,eco-0436,10.23,46,2021-11-24
v-000183,s-0055,eco-0192,1.88,8,2021-07-12
v-000184,s-0144,eco-0408,0.57,8,2021-04-12
v-000185,s-0011,eco-0252,1.25,11,2021-11-19
v-000186,s-0176,eco-0422,11.26,48,2021-05-27
v-000187,s-0137,eco-0029,1.74,9,2021-03-06
v-000188,s-0005,eco-0177,0.99,11,2021-02-09
v-000189,s-0079,eco-0367,3.62,8,2021-01-13
v-000190,s-0137,eco-0223,0.58,8,2021-05-18
v-000191,s-0053,eco-0022,10.54,38,2021-12-13
v-000192,s-0041,eco-0347,1.21,7,2021-01-20
v-000193,s-0036,eco-0205,3.37,12,2021-06-26
v-000194,s-0137,eco-0438,0.83,9,2021-03-23
v-000195,s-0163,eco-0266,3.24,7,2021-02-28
v-000196,s-0108,eco-0113,1.82,10,2021-09-23
v-000197,s-0047,eco-0074,1.17,45,2021-04-20
v-000198,s-0151,eco-0324,16.64,44,2021-07-28
v-000199,s-0148,eco-0338,1.79,12,2021-01-03
v-000200,s-0019,eco-0137,8.52,45,2021-12-03
v-000201,s-0066,eco-0026,0.72,11,2021-11-22
v-000202,s-0192,eco-0231,1.23,5,2021-04-13
v-000203,s-0193,eco-0474,5.24,43,2021-12-11
v-000204,s-0184,eco-0478,3.0,13,2021-11-08
v-000205,s-0140,eco-0109,1.06,7,2021-05-18
v-000206,s-0072,eco-0251,4.42,49,2021-09-21
v-000207,s-0030,eco-0033,6.07,45,2021-02-18
v-000208,s-0018,eco-0106,15.26,49,2021-07-07
v-000209,s-0120,eco-0199,2.83,6,2021-08-20
v-000210,s-0034,eco-0074,3.91,7,2021-10-01
v-000211,s-0118,eco-0480,1.99,10,2021-09-13
v-000212,s-0106,eco-0296,9.02,53,2021-05-04
v-000213,s-0119,eco-0250,9.5,45,2021-07-31
v-000214,s-0115,eco-0313,3.03,9,2021-07-30
v-000215,s-0106,eco-0059,3.49,9,2021-01-03
v-000216,s-0093,eco-0382,14.0,49,2021-05-22
v-000217,s-0122,eco-0143,2.56,8,2021-06-17
v-000218,s-0174,eco-0424,1.85,7,2021-04-09
v-000219,s-0019,eco-0011,2.49,9,2021-03-13
v-000220,s-0115,eco-0120,0.7,10,2021-05-19
v-000221,s-0077,eco-0216,0.31,12,2021-11-16
v-000222,s-0197,eco-0073,3.03,9,2021-06-13
v-000223,s-0090,eco-0324,1.99,7,2021-03-16
v-000224,s-0002,eco-0199,1.21,9,2021-01-03
v-000225,s-0039,eco-0474,1.44,10,2021-10-02
v-000226,s-0077,eco-0211,12.6,46,2021-10-14
v-000227,s-0018,eco-0323,2.69,12,2021-07-17
v-000228,s-0101,eco-0033,2.77,46,2021-02-27
v-000229,s-0119,eco-0301,5.57,47,2021-01-01
v-000230,s-0046,eco-0377,0.7,10,2021-09-11
v-000231,s-0187,eco-0278,0.14,10,2021-02-25
v-000232,s-0115,eco-0285,5.78,42,2021-11-30
v-000233,s-0115,eco-0465,11.34,44,2021-11-01
v-000234,s-0113,eco-0309,2.49,7,2021-07-30
v-000235,s-0017,eco-0352,9.67,51,2021-11-19
v-000236,s-0087,eco-0334,2.25,10,2021-10-15
v-000237,s-0013,eco-0425,0.32,9,2021-06-08
v-000238,s-0186,eco-0460,2.4,8,2021-01-01
v-000239,s-0108,eco-0016,1.65,7,2021-10-03
v-000240,s-0109,eco-0165,3.52,8,2021-05-26
v-000241,s-0165,eco-0350,2.06,10,2021-11-28
v-000242,s-0022,eco-0260,8.91,54,2021-05-05
v-000243,s-0033,eco-0255,2.18,12,2021-06-19
v-000244,s-0181,eco-0349,3.28,9,2021-04-22
v-000245,s-0193,eco-0437,1.14,11,2021-03-16
v-000246,s-0167,eco-0406,0.19,13,2021-10-25
v-000247,s-0119,eco-0020,5.78,42,2021-10-09
v-000248,s-0179,eco-0371,3.47,12,2021-02-13
v-000249,s-0053,eco-0051,0.46,13,2021-12-11
v-000250,s-0093,eco-0220,1.35,8,2021-09-15
v-000251,s-0135,eco-0489,13.08,48,2021-06-20
v-000252,s-0199,eco-0352,1.09,9,2021-01-29
v-000253,s-0178,eco-0300,1.34,11,2021-06-20
v-000254,s-0004,eco-0426,1.34,7,2021-12-17
v-000255,s-0109,eco-0495,3.19,10,2021-03-24
v-000256,s-0129,eco-0160,2.69,10,2021-05-30
v-000257,s-0027,eco-0429,1.93,8,2021-07-21
v-000258,s-0081,eco-0001,4.38,48,2021-05-25
v-000259,s-0113,eco-0365,2.28,11,2021-08-23
v-000260,s-0056,eco-0176,12.35,42,2021-05-28
v-000261,s-0187,eco-0394,1.95,12,2021-10-17
v-000262,s-0097,eco-0449,14.29,42,2021-11-13
v-000263,s-0114,eco-0395,0.95,8,2021-12-10
v-000264,s-0165,eco-0110,8.12,41,2021-06-05
v-000265,s-0030,eco-0313,3.71,12,2021-07-21
v-000266,s-0197,eco-0364,9.44,44,2021-12-22
v-000267,s-0156,eco-0392,1.71,6,2021-02-22
v-000268,s-0149,eco-0055,8.02,39,2021-10-26
v-000269,s-0119,eco-0337,2.97,8,2021-07-01
v-000270,s-0042,eco-0353,2.21,10,2021-02-22
v-000271,s-0160,eco-0202,1.85,8,2021-04-09
v-000272,s-0148,eco-0074,1.89,10,2021-01-23
v-000273,s-0114,eco-0492,0.21,11,2021-02-11
v-000274,s-0168,eco-0164,1.41,11,2021-10-12
v-000275,s-0105,eco-0161,2.28,11,2021-02-08
v-000276,s-0160,eco-0153,1.27,12,2021-06-26
v-000277,s-0191,eco-0334,1.77,8,2021-02-13
v-000278,s-0181,eco-0230,1.05,12,2021-07-16
v-000279,s-0016,eco-0342,1.69,9,2021-06-20
v-000280,s-0085,eco-0263,7.24,52,2021-06-21
v-000281,s-0163,eco-0016,5.33,49,2021-01-26
v-000282,s-0002,eco-0235,2.37,10,2021-08-26
v-000283,s-0015,eco-0190,6.44,47,2021-06-19
v-000284,s-0162,eco-0273,11.66,41,2021-03-05
v-000285,s-0008,eco-0098,9.95,48,2021-02-24
v-000286,s-0046,eco-0193,15.7,51,2021-12-24
v-000287,s-0052,eco-0214,1.76,9,2021-06-13
v-000288,s-0092,eco-0395,18.94,41,2021-01-08
v-000289,s-0085,eco-0322,3.12,10,2021-04-14
v-000290,s-0189,eco-0321,3.44,10,2021-04-18
v-000291,s-0067,eco-0170,1.46,9,2021-06-04
v-000292,s-0097,eco-0447,1.46,8,2021-05-23
v-000293,s-0118,eco-0496,8.3,49,2021-11-29
v-000294,s-0002,eco-0245,2.08,11,2021-03-04
v-000295,s-0014,eco-0190,1.53,6,2021-09-04
v-000296,s-0140,eco-0261,10.67,49,2021-05-12
v-000297,s-0078,eco-0270,1.17,12,2021-07-23
v-000298,s-0151,eco-0070,1.75,15,2021-10-17
v-000299,s-0021,eco-0003,1.86,10,2021-02-08
v-000300,s-0070,eco-0234,11.82,54,2021-12-01
v-000301,s-0034,eco-0142,8.55,44,2021-05-28
v-000302,s-0126,eco-0321,2.24,9,2021-05-24
v-000303,s-0148,eco-0186,2.57,12,2021-12-24
v-000304,s-0084,eco-0023,9.33,45,2021-06-24
v-000305,s-0067,eco-0467,3.63,12,2021-08-15
v-000306,s-0073,eco-0026,7.91,41,2021-01-31
v-000307,s-0043,eco-0196,1.46,13,2021-01-01
v-000308,s-0150,eco-0141,13.18,47,2021-12-23
v-000309,s-0160,eco-0388,0.98,7,2021-01-15
v-000310,s-0056,eco-0181,3.85,15,2021-02-24
v-000311,s-0045,eco-0235,1.03,12,2021-06-28
v-000312,s-0085,eco-0002,0.41,8,2021-05-11
v-000313,s-0079,eco-0177,10.33,42,2021-06-29
v-000314,s-0134,eco-0361,2.62,8,2021-01-13
v-000315,s-0103,eco-0460,1.45,45,2021-08-06
v-000316,s-0129,eco-0113,0.96,10,2021-09-05
v-000317,s-0108,eco-0478,0.84,11,2021-11-06
v-000318,s-0134,eco-0323,0.64,8,2021-02-04
v-000319,s-0157,eco-0331,0.39,41,2021-02-21
v-000320,s-0182,eco-0338,3.19,13,2021-11-21
v-000321,s-0001,eco-0016,1.24,10,2021-08-28
v-000322,s-0112,eco-0255,0.54,10,2021-04-27
v-000323,s-0049,eco-0224,2.79,12,2021-08-06
v-000324,s-0160,eco-0263,1.28,10,2021-04-05
v-000325,s-0071,eco-0145,1.7,43,2021-12-26
v-000326,s-0075,eco-0218,2.46,13,2021-10-29
v-000327,s-0061,eco-0072,2.5,8,2021-04-14
v-000328,s-0150,eco-0164,1.17,11,2021-04-27
v-000329,s-0042,eco-0487,2.39,7,2021-01-01
v-000330,s-0122,eco-0118,1.55,10,2021-07-29
v-000331,s-0086,eco-0371,2.56,9,2021-12-07
v-000332,s-0077,eco-0303,10.45,47,2021-10-05
v-000333,s-0171,eco-0307,1.47,11,2021-09-29
v-000334,s-0115,eco-0434,2.27,12,2021-12-13
v-000335,s-0198,eco-0262,1.84,13,2021-02-27
v-000336,s-0055,eco-0267,1.26,15,2021-09-21
v-000337,s-0070,eco-0126,12.1,44,2021-03-21
v-000338,s-0199,eco-0085,2.41,10,2021-03-26
v-000339,s-0063,eco-0305,1.93,12,2021-08-13
v-000340,s-0006,eco-0352,1.57,12,2021-06-03
v-000341,s-0176,eco-0384,14.87,41,2021-05-12
v-000342,s-0082,eco-0246,0.69,13,2021-06-15
v-000343,s-0136,eco-0028,0.38,8,2021-06-03
v-000344,s-0135,eco-0347,10.6,48,2021-06-24
v-000345,s-0051,eco-0493,2.36,9,2021-02-02
v-000346,s-0026,eco-0175,5.38,45,2021-10-09
v-000347,s-0137,eco-0163,1.06,8,2021-06-23
v-000348,s-0186,eco-0305,0.44,8,2021-01-23
v-000349,s-0059,eco-0398,3.73,9,2021-07-30
v-000350,s-0067,eco-0421,2.59,10,2021-10-05
v-000351,s-0029,eco-0423,0.63,10,2021-09-20
v-000352,s-0004,eco-0259,1.74,5,2021-10-26
v-000353,s-0198,eco-0181,9.99,43,2021-11-04
v-000354,s-0168,eco-0126,1.38,7,2021-01-31
v-000355,s-0197,eco-0353,4.58,8,2021-12-02
v-000356,s-0085,eco-0166,6.36,48,2021-02-02
v-000357,s-0193,eco-0071,3.76,10,2021-03-19
v-000358,s-0023,eco-0245,6.57,45,2021-06-09
v-000359,s-0087,eco-0341,1.71,10,2021-03-07
v-000360,s-0008,eco-0401,12.08,41,2021-09-25
v-000361,s-0086,eco-0141,1.71,11,2021-05-11
v-000362,s-0113,eco-0391,6.46,51,2021-05-13
v-000363,s-0191,eco-0178,5.81,36,2021-11-22
v-000364,s-0141,eco-0427,1.24,9,2021-06-26
v-000365,s-0138,eco-0291,2.66,10,2021-06-19
v-000366,s-0041,eco-0458,2.13,8,2021-04-06
v-000367,s-0045,eco-0162,2.71,9,2021-08-04
v-000368,s-0041,eco-0169,1.35,6,2021-01-24
v-000369,s-0109,eco-0100,2.55,9,2021-08-31
v-000370,s-0082,eco-0133,0.04,12,2021-05-13
v-000371,s-0093,eco-0303,8.97,47,2021-11-01
v-000372,s-0167,eco-0039,1.87,6,2021-08-10
v-000373,s-0051,eco-0227,3.17,7,2021-11-15
v-000374,s-0027,eco-0260,8.63,47,2021-07-31
v-000375,s-0049,eco-0256,11.55,38,2021-10-04
v-000376,s-0014,eco-0003,1.46,8,2021-08-12
v-000377,s-0162,eco-0307,11.64,42,2021-11-20
v-000378,s-0181,eco-0016,6.24,41,2021-01-30
v-000379,s-0175,eco-0062,14.01,46,2021-10-19
v-000380,s-0061,eco-0199,3.83,46,2021-02-15
v-000381,s-0163,eco-0384,3.55,5,2021-10-03
v-000382,s-0039,eco-0112,2.18,11,2021-06-02
v-000383,s-0137,eco-0196,1.31,11,2021-08-06
v-000384,s-0141,eco-0260,1.08,9,2021-01-08
v-000385,s-0127,eco-0067,12.48,39,2021-06-28
v-000386,s-0008,eco-0491,1.99,9,2021-10-11
v-000387,s-0093,eco-0421,2.29,7,2021-04-03
v-000388,s-0062,eco-0471,5.86,41,2021-02-14
v-000389,s-0070,eco-0112,2.09,8,2021-03-01
v-000390,s-0039,eco-0060,14.44,45,2021-05-26
v-000391,s-0176,eco-0073,2.54,14,2021-02-25
v-000392,s-0102,eco-0446,1.44,9,2021-06-06
v-000393,s-0111,eco-0210,1.57,12,2021-08-13
v-000394,s-0114,eco-0489,0.05,10,2021-02-16
v-000395,s-0083,eco-0048,1.31,13,2021-02-25
v-000396,s-0160,eco-0348,5.86,46,2021-07-17
v-000397,s-0111,eco-0061,11.41,44,2021-05-02
v-000398,s-0183,eco-0171,9.11,42,2021-12-06
v-000399,s-0114,eco-0062,1.35,9,2021-03-15
v-000400,s-0105,eco-0084,1.41,11,2021-02-13
v-000401,s-0163,eco-0381,14.62,42,2021-04-30
v-000402,s-0120,eco-0484,8.97,42,2021-11-08
v-000403,s-0077,eco-0264,16.48,45,2021-01-19
v-000404,s-0049,eco-0420,4.45,42,2021-04-23
v-000405,s-0140,eco-0087,4.53,8,2021-04-06
v-000406,s-0141,eco-0196,2.92,15,2021-06-22
v-000407,s-0066,eco-0066,1.98,12,2021-04-19
v-000408,s-0081,eco-0250,0.62,9,2021-06-29
v-000409,s-0174,eco-0312,1.0,11,2021-06-22
v-000410,s-0192,eco-0388,0.26,9,2021-01-24
v-000411,s-0064,eco-0425,3.1,12,2021-05-03
v-000412,s-0039,eco-0080,1.61,9,2021-10-24
v-000413,s-0182,eco-0467,2.21,10,2021-05-28
v-000414,s-0160,eco-0040,8.0,48,2021-12-18
v-000415,s-0051,eco-0315,1.6,10,2021-10-09
v-000416,s-0136,eco-0281,0.84,10,2021-03-25
v-000417,s-0179,eco-0090,12.19,46,2021-06-04
v-000418,s-0188,eco-0146,1.97,10,2021-11-30
v-000419,s-0023,eco-0499,4.31,6,2021-03-23
v-000420,s-0144,eco-0062,2.77,11,2021-08-01
v-000421,s-0181,eco-0258,8.01,43,2021-02-26
v-000422,s-0162,eco-0140,1.92,10,2021-05-22
v-000423,s-0042,eco-0062,0.46,8,2021-05-18
v-000424,s-0186,eco-0039,6.89,41,2021-08-29
v-000425,s-0034,eco-0343,3.78,17,2021-05-25
v-000426,s-0152,eco-0037,2.01,7,2021-05-05
v-000427,s-0022,eco-0331,0.81,47,2021-06-24
v-000428,s-0045,eco-0133,2.35,7,2021-12-19
v-000429,s-0191,eco-0357,1.0,9,2021-04-12
v-000430,s-0083,eco-0003,3.16,10,2021-06-18
v-000431,s-0071,eco-0102,0.93,9,2021-07-25
v-000432,s-0129,eco-0450,0.2,12,2021-02-28
v-000433,s-0088,eco-0363,2.04,13,2021-12-13
v-000434,s-0082,eco-0195,8.88,44,2021-12-13
v-000435,s-0011,eco-0207,4.69,12,2021-05-22
v-000436,s-0067,eco-0279,4.09,49,2021-02-28
v-000437,s-0136,eco-0194,2.93,10,2021-08-29
v-000438,s-0086,eco-0198,3.15,5,2021-05-19
v-000439,s-0150,eco-0162,3.38,8,2021-05-31
v-000440,s-0166,eco-0104,9.56,40,2021-10-19
v-000441,s-0049,eco-0474,11.62,42,2021-01-17
v-000442,s-0016,eco-0351,6.28,46,2021-12-08
v-000443,s-0027,eco-0251,2.48,13,2021-06-03
v-000444,s-0129,eco-0039,2.95,8,2021-01-09
v-000445,s-0066,eco-0286,15.47,48,2021-04-25
v-000446,s-0193,eco-0195,2.83,13,2021-01-21
v-000447,s-0162,eco-0312,2.47,13,2021-11-13
v-000448,s-0054,eco-0091,2.13,10,2021-07-21
v-000449,s-0103,eco-0360,2.66,9,2021-06-23
v-000450,s-0082,eco-0139,1.02,8,2021-01-19
v-000451,s-0082,eco-0153,1.56,7,2021-05-07
v-000452,s-0193,eco-0071,1.88,9,2021-05-07
v-000453,s-0030,eco-0378,2.11,11,2021-06-25
v-000454,s-0183,eco-0352,1.06,7,2021-02-04
v-000455,s-0170,eco-0445,13.61,51,2021-07-23
v-000456,s-0046,eco-0329,1.31,6,2021-01-31
v-000457,s-0179,eco-0128,8.93,45,2021-03-08
v-000458,s-0185,eco-0132,14.54,37,2021-09-28
v-000459,s-0174,eco-0151,2.72,7,2021-09-21
v-000460,s-0014,eco-0052,1.97,10,2021-11-20
v-000461,s-0047,eco-0461,2.84,8,2021-12-02
v-000462,s-0051,eco-0102,18.42,48,2021-09-13
v-000463,s-0014,eco-0258,8.92,44,2021-12-11
v-000464,s-0082,eco-0021,2.48,10,2021-02-20
v-000465,s-0028,eco-0051,0.92,8,2021-05-17
v-000466,s-0135,eco-0380,3.26,9,2021-08-13
v-000467,s-0005,eco-0077,11.23,45,2021-05-10
v-000468,s-0081,eco-0128,2.72,9,2021-05-02
v-000469,s-0145,eco-0333,3.12,13,2021-06-16
v-000470,s-0083,eco-0204,10.48,36,2021-12-25
v-000471,s-0159,eco-0078,9.18,47,2021-12-05
v-000472,s-0183,eco-0461,15.19,50,2021-05-25
v-000473,s-0175,eco-0124,3.33,12,2021-07-14
v-000474,s-0135,eco-0337,1.43,12,2021-02-28
v-000475,s-0119,eco-0404,3.53,8,2021-06-30
v-000476,s-0059,eco-0133,9.97,46,2021-05-20
v-000477,s-0036,eco-0223,3.31,10,2021-09-29
v-000478,s-0043,eco-0071,9.06,41,2021-06-01
v-000479,s-0061,eco-0095,4.89,41,2021-03-09
v-000480,s-0081,eco-0432,3.64,11,2021-10-28
